F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time
44.4739,91.7549,45.6863,85.74,oos_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,5,100,2023-04-22-14-14-27
49.1831,91.7889,50.2756,86.1,oos_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,6,100,2023-04-22-14-18-47
39.6323,91.0082,40.9496,84.44,oos_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,7,100,2023-04-22-14-22-00
37.1572,90.514,38.5254,83.65,oos_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,8,100,2023-04-22-14-25-00
44.051,91.3036,45.2626,85.02,oos_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,9,100,2023-04-22-14-28-08
38.5894,84.6431,39.1954,75.39,oos_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,0,100,2023-04-22-14-40-51
41.7117,83.7667,42.265,74.45,oos_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,1,100,2023-04-22-14-48-21
39.0229,84.463,39.6208,75.06,oos_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,2,100,2023-04-22-14-56-41
41.8681,83.7685,42.4194,74.89,oos_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,3,100,2023-04-22-15-03-22
42.2487,83.8127,42.7956,74.64,oos_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,4,100,2023-04-22-15-11-16
41.6316,83.7719,42.1861,74.72,oos_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,5,100,2023-04-22-15-21-39
42.3512,84.6847,42.9082,76.21,oos_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,6,100,2023-04-22-15-31-17
38.173,83.9659,38.7755,74.26,oos_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,7,100,2023-04-22-15-38-55
39.948,83.0132,40.5146,73.54,oos_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,8,100,2023-04-22-15-45-33
37.0583,83.9692,37.6756,74.97,oos_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,9,100,2023-04-22-15-52-53
38.2349,74.9308,38.5597,64.34,oos_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,0,100,2023-04-22-16-04-25
39.3611,72.8488,39.6574,63.02,oos_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,1,100,2023-04-22-16-17-23
40.5731,74.4288,40.8727,64.26,oos_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,2,100,2023-04-22-16-30-53
40.3329,73.7625,40.6287,64.4,oos_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,3,100,2023-04-22-16-43-47
41.5154,74.0484,41.8033,64.45,oos_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,4,100,2023-04-22-16-57-12
38.7126,75.3846,39.0372,64.37,oos_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,5,100,2023-04-22-17-08-33
40.0336,74.0773,40.3349,64.04,oos_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,6,100,2023-04-22-17-19-55
40.0609,73.6958,40.3585,63.66,oos_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,7,100,2023-04-22-17-31-07
39.5184,71.952,39.8054,62.31,oos_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,8,100,2023-04-22-17-42-29
43.731,75.6087,44.0131,66.24,oos_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,9,100,2023-04-22-17-52-11
63.3864,81.8319,66.4607,74.73,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-22-17-55-46
47.2823,24.3979,43.4683,30.12,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,1,100,2023-04-22-18-00-29
47.7128,29.8298,44.7323,31.57,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,2,100,2023-04-22-18-04-34
59.6973,82.0667,63.4256,74.6,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,3,100,2023-04-22-18-08-00
58.2869,77.7488,61.5305,69.74,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,4,100,2023-04-22-18-12-12
52.0279,70.8263,55.161,62.79,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,5,100,2023-04-22-18-15-02
60.4664,80.968,63.8833,73.22,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,6,100,2023-04-22-18-17-40
52.0352,68.8214,54.8329,60.34,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,7,100,2023-04-22-18-20-46
47.9529,60.5772,50.0569,52.32,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,8,100,2023-04-22-18-24-12
57.2497,71.6662,59.6524,62.75,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,9,100,2023-04-22-18-27-59
77.2937,82.4071,77.7586,80.24,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,0,100,2023-04-22-18-33-55
64.0245,27.9536,60.7453,43.58,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,1,100,2023-04-22-18-41-38
57.5791,37.9533,55.795,47.02,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,2,100,2023-04-22-18-47-12
68.6756,67.7099,68.5878,67.13,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,3,100,2023-04-22-18-53-31
70.0498,73.9377,70.4032,71.39,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,4,100,2023-04-22-19-01-14
64.2509,40.4398,62.0863,50.57,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,5,100,2023-04-22-19-06-28
79.6502,85.8613,80.2148,83.2,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,6,100,2023-04-22-19-14-40
75.5726,82.1337,76.1691,79.59,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,7,100,2023-04-22-19-20-44
71.58,74.6814,71.8619,72.98,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,8,100,2023-04-22-19-26-55
70.4378,72.7535,70.6483,70.81,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,9,100,2023-04-22-19-32-02
81.589,71.7874,80.9764,78.62,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,0,100,2023-04-22-19-42-50
78.8804,62.0458,77.8282,73.56,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,1,100,2023-04-22-19-56-42
77.7428,65.9529,77.006,73.91,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,2,100,2023-04-22-20-05-29
77.2008,54.4681,75.78,70.36,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,3,100,2023-04-22-20-14-51
80.4656,65.9864,79.5606,76.49,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,4,100,2023-04-22-20-26-09
78.2034,59.3407,77.0245,72.46,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,5,100,2023-04-22-20-34-17
77.3022,60.5335,76.2542,71.81,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,6,100,2023-04-22-20-42-26
81.2753,68.3386,80.4668,77.52,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,7,100,2023-04-22-20-52-15
70.7297,37.4721,68.6511,60.83,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,8,100,2023-04-22-21-03-18
74.3033,60.2424,73.4245,69.6,stackoverflow_cg,DA-ADB,bert_disaware_boost,0.75,1.0,CrossEntropyLoss,9,100,2023-04-22-21-13-20
