F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time
58.0392,85.2741,59.401,77.48,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-23-12-58-14
57.1088,81.5267,58.3297,73.63,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,1,100,2023-04-23-13-02-32
59.8307,83.3962,61.009,76.53,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,2,100,2023-04-23-13-06-09
58.9129,83.9279,60.1637,76.74,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,3,100,2023-04-23-13-11-03
61.8134,82.7193,62.8587,74.79,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,4,100,2023-04-23-13-14-17
53.7553,84.9063,55.3128,77.0,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,5,100,2023-04-23-13-19-48
49.8365,78.6798,51.2787,69.57,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,6,100,2023-04-23-13-24-45
51.0001,84.0206,52.6511,75.37,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,7,100,2023-04-23-13-29-26
57.4321,84.9627,58.8086,77.37,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,8,100,2023-04-23-13-33-44
59.5424,84.313,60.7809,76.58,banking_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,9,100,2023-04-23-13-38-10
59.8776,72.9271,60.2122,67.99,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,0,100,2023-04-23-13-44-38
64.5203,71.2432,64.6927,68.72,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,1,100,2023-04-23-13-52-18
64.2072,72.7178,64.4254,69.67,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,2,100,2023-04-23-14-02-26
60.3629,71.5496,60.6498,67.77,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,3,100,2023-04-23-14-13-24
65.2193,74.5057,65.4574,70.62,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,4,100,2023-04-23-14-23-38
60.5998,75.5774,60.9838,70.15,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,5,100,2023-04-23-14-32-10
60.244,76.1223,60.6512,71.1,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,6,100,2023-04-23-14-48-22
61.7583,72.7178,62.0393,68.04,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,7,100,2023-04-23-14-57-44
63.5424,73.679,63.8024,70.31,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,8,100,2023-04-23-15-06-11
65.2053,70.9712,65.3531,67.99,banking_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,9,100,2023-04-23-15-12-16
68.5561,57.9035,68.3755,67.09,banking_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,0,100,2023-04-23-15-24-50
68.7168,53.3713,68.4567,65.98,banking_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,1,100,2023-04-23-15-35-15
65.9719,55.1542,65.7885,64.66,banking_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,2,100,2023-04-23-15-47-36
65.2381,50.289,64.9847,62.97,banking_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,3,100,2023-04-23-15-57-26
64.5837,51.1895,64.3567,62.39,banking_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,4,100,2023-04-23-16-11-29
66.9424,58.8986,66.8061,65.88,banking_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,5,100,2023-04-23-16-27-41
64.7451,56.6696,64.6082,63.98,banking_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,6,100,2023-04-23-16-40-04
67.4013,55.0394,67.1918,65.72,banking_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,7,100,2023-04-23-16-56-38
66.0878,54.4856,65.8911,64.08,banking_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,8,100,2023-04-23-17-07-52
68.2401,55.1724,68.0186,66.14,banking_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,9,100,2023-04-23-17-25-35
52.895,92.9296,53.9215,87.78,oos_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-23-17-30-05
56.8513,92.6918,57.7703,87.33,oos_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,1,100,2023-04-23-17-34-43
54.6239,92.7308,55.601,87.22,oos_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,2,100,2023-04-23-17-38-43
53.2788,90.8121,54.2412,84.64,oos_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,3,100,2023-04-23-17-43-40
56.9113,92.2089,57.8164,86.48,oos_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,4,100,2023-04-23-17-46-46
56.4662,92.7022,57.3953,87.47,oos_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,5,100,2023-04-23-17-52-02
