F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time
41.9849,88.9448,43.189,81.22,oos_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,8,100,2023-04-23-16-34-57
47.1301,88.3425,48.1869,80.7,oos_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,9,100,2023-04-23-16-37-52
52.2345,82.9142,52.6382,74.45,oos_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,0,100,2023-04-23-16-43-51
52.3058,82.7698,52.7066,74.28,oos_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,1,100,2023-04-23-16-50-16
51.4558,84.3445,51.8885,75.39,oos_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,2,100,2023-04-23-16-56-34
55.3595,83.7115,55.7325,75.74,oos_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,3,100,2023-04-23-17-02-33
56.4393,83.3988,56.794,74.72,oos_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,4,100,2023-04-23-17-07-40
54.3801,84.2803,54.7735,75.94,oos_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,5,100,2023-04-23-17-13-39
53.579,83.4179,53.9717,75.33,oos_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,6,100,2023-04-23-17-21-07
49.7307,82.4119,50.1608,73.32,oos_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,7,100,2023-04-23-17-27-03
49.7463,80.3373,50.1488,71.23,oos_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,8,100,2023-04-23-17-32-34
57.2579,83.0579,57.5973,75.66,oos_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,9,100,2023-04-23-17-38-48
53.6938,74.7654,53.8803,66.63,oos_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,0,100,2023-04-23-17-46-47
55.6012,75.6123,55.7783,67.84,oos_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,1,100,2023-04-23-17-53-48
53.021,75.6294,53.2211,67.1,oos_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,2,100,2023-04-23-18-03-20
57.0332,75.3032,57.1949,68.69,oos_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,3,100,2023-04-23-18-11-37
56.6157,76.2049,56.789,68.92,oos_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,4,100,2023-04-23-18-19-52
52.7689,77.9387,52.9916,68.45,oos_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,5,100,2023-04-23-18-28-15
55.3801,76.8252,55.5699,68.81,oos_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,6,100,2023-04-23-18-36-55
52.8546,75.503,53.0551,67.37,oos_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,7,100,2023-04-23-18-45-29
53.964,73.8437,54.1399,66.22,oos_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,8,100,2023-04-23-18-52-25
58.1939,76.1759,58.3531,69.66,oos_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,9,100,2023-04-23-19-00-49
55.818,55.2514,55.7236,50.26,stackoverflow_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-23-19-04-00
52.8584,61.7276,54.3366,55.11,stackoverflow_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,1,100,2023-04-23-19-06-48
50.0587,60.3681,51.7769,53.56,stackoverflow_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,2,100,2023-04-23-19-09-42
49.3742,70.0831,52.8257,61.55,stackoverflow_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,3,100,2023-04-23-19-12-06
56.1134,74.0403,59.1012,65.92,stackoverflow_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,4,100,2023-04-23-19-15-28
53.8005,68.7861,56.2981,61.27,stackoverflow_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,5,100,2023-04-23-19-17-44
50.6527,68.3174,53.5968,59.35,stackoverflow_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,6,100,2023-04-23-19-19-56
50.2524,62.9508,52.3688,55.59,stackoverflow_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,7,100,2023-04-23-19-22-11
45.4084,54.2109,46.8755,47.13,stackoverflow_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,8,100,2023-04-23-19-25-21
51.8181,59.6916,53.1304,51.91,stackoverflow_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,9,100,2023-04-23-19-28-04
71.751,74.9117,72.0383,73.29,stackoverflow_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,0,100,2023-04-23-19-32-58
70.4566,71.9569,70.593,70.02,stackoverflow_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,1,100,2023-04-23-19-39-06
64.614,65.835,64.725,64.2,stackoverflow_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,2,100,2023-04-23-19-45-06
69.1442,70.7946,69.2942,69.16,stackoverflow_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,3,100,2023-04-23-19-51-37
56.8813,29.6746,54.408,46.92,stackoverflow_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,4,100,2023-04-23-19-55-41
69.8846,65.7927,69.5126,67.13,stackoverflow_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,5,100,2023-04-23-20-00-10
62.217,55.8589,61.639,58.42,stackoverflow_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,6,100,2023-04-23-20-03-35
68.5118,69.8874,68.6368,68.85,stackoverflow_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,7,100,2023-04-23-20-11-27
65.7149,64.0523,65.5638,64.54,stackoverflow_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,8,100,2023-04-23-20-16-36
71.2495,72.5071,71.3638,71.15,stackoverflow_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,9,100,2023-04-23-20-21-54
76.608,63.6416,75.7976,72.98,stackoverflow_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,0,100,2023-04-23-20-29-06
74.0923,50.0652,72.5906,67.37,stackoverflow_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,1,100,2023-04-23-20-36-05
73.1635,55.1553,72.038,68.19,stackoverflow_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,2,100,2023-04-23-20-43-31
72.9565,39.8754,70.8889,64.89,stackoverflow_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,3,100,2023-04-23-20-51-01
76.1223,54.4137,74.7655,70.71,stackoverflow_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,4,100,2023-04-23-20-59-11
74.5071,43.379,72.5616,67.02,stackoverflow_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,5,100,2023-04-23-21-05-37
73.1544,49.3392,71.6659,66.16,stackoverflow_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,6,100,2023-04-23-21-13-17
75.2844,54.8148,74.0051,70.22,stackoverflow_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,7,100,2023-04-23-21-19-22
73.5262,41.7803,71.542,65.34,stackoverflow_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,8,100,2023-04-23-21-27-53
69.2103,46.7836,67.8086,63.79,stackoverflow_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,9,100,2023-04-23-21-34-07
