F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time
45.5485,91.6001,46.7293,85.46,oos_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,8,100,2023-04-24-00-57-33
55.9512,92.8083,56.8963,87.75,oos_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,9,100,2023-04-24-01-05-01
56.0497,86.2248,56.4468,79.32,oos_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,0,100,2023-04-24-01-21-12
57.4374,84.3408,57.7914,76.98,oos_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,1,100,2023-04-24-01-37-37
53.0147,86.0759,53.4497,78.61,oos_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,2,100,2023-04-24-01-56-44
55.2734,85.5288,55.6715,78.58,oos_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,3,100,2023-04-24-02-20-21
58.0217,85.5543,58.384,78.69,oos_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,4,100,2023-04-24-02-42-25
56.1989,86.0112,56.5911,78.83,oos_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,5,100,2023-04-24-02-59-51
56.6445,86.2116,57.0336,79.71,oos_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,6,100,2023-04-24-03-26-35
54.2908,85.354,54.6996,77.75,oos_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,7,100,2023-04-24-03-44-07
51.4671,84.5021,51.9017,76.82,oos_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,8,100,2023-04-24-03-59-06
55.5989,85.8503,55.997,79.13,oos_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,9,100,2023-04-24-04-16-40
56.6039,78.1976,56.795,71.5,oos_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,0,100,2023-04-24-04-37-55
56.988,77.1822,57.1667,70.9,oos_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,1,100,2023-04-24-05-04-47
53.538,76.5928,53.742,69.71,oos_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,2,100,2023-04-24-05-48-13
57.2035,76.272,57.3723,70.46,oos_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,3,100,2023-04-24-06-12-34
58.6208,77.7647,58.7903,72.0,oos_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,4,100,2023-04-24-06-40-32
54.5803,77.9926,54.7875,70.65,oos_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,5,100,2023-04-24-07-01-32
52.855,76.823,53.0671,69.63,oos_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,6,100,2023-04-24-07-31-08
53.2642,76.516,53.47,69.36,oos_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,7,100,2023-04-24-08-04-10
54.1058,75.497,54.2951,69.27,oos_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,8,100,2023-04-24-08-32-14
58.6322,77.6064,58.8001,71.94,oos_cg,ADB,bert_boost,0.75,1.0,CrossEntropyLoss,9,100,2023-04-24-08-56-32
66.1941,86.48,69.5751,80.17,stackoverflow_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,0,100,2023-04-24-09-02-11
62.815,83.0769,66.192,75.97,stackoverflow_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,1,100,2023-04-24-09-08-12
58.4611,78.1234,61.7381,70.19,stackoverflow_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,2,100,2023-04-24-09-14-15
53.4358,76.6345,57.3023,68.26,stackoverflow_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,3,100,2023-04-24-09-20-07
58.6596,80.2117,62.2516,72.22,stackoverflow_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,4,100,2023-04-24-09-29-05
53.6486,67.2504,55.9155,59.66,stackoverflow_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,5,100,2023-04-24-09-34-34
58.2589,81.5362,62.1384,73.18,stackoverflow_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,6,100,2023-04-24-09-39-00
60.5257,83.1644,64.2988,75.73,stackoverflow_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,7,100,2023-04-24-09-44-57
58.8507,85.6209,63.3124,78.18,stackoverflow_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,8,100,2023-04-24-09-53-50
59.031,81.3176,62.7455,73.08,stackoverflow_cg,ADB,bert_boost,0.25,1.0,CrossEntropyLoss,9,100,2023-04-24-10-03-50
74.3015,82.3636,75.0344,79.35,stackoverflow_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,0,100,2023-04-24-10-19-20
71.9398,78.6574,72.5505,75.25,stackoverflow_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,1,100,2023-04-24-10-31-49
68.6156,78.556,69.5193,74.11,stackoverflow_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,2,100,2023-04-24-10-58-40
69.8558,76.4467,70.4549,73.05,stackoverflow_cg,ADB,bert_boost,0.5,1.0,CrossEntropyLoss,3,100,2023-04-24-11-13-32
