F1-known,F1-open,F1,Acc,dataset,method,backbone,known_cls_ratio,labeled_ratio,loss,seed,train_epochs,created_time
48.4062,92.226,49.5298,86.65,oos_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,5,100,2023-04-22-17-40-13
53.3651,92.0635,54.3574,86.65,oos_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,6,100,2023-04-22-17-45-30
38.0994,90.4211,39.441,83.54,oos_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,7,100,2023-04-22-17-50-42
36.0735,91.5276,37.4954,85.19,oos_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,8,100,2023-04-22-17-57-38
44.3693,92.2686,45.5975,86.51,oos_cg,DA-ADB,bert_disaware_boost,0.25,1.0,CrossEntropyLoss,9,100,2023-04-22-18-02-31
35.468,84.4092,36.112,75.22,oos_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,0,100,2023-04-22-18-15-24
40.5645,83.8792,41.1344,74.92,oos_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,1,100,2023-04-22-18-28-28
38.3713,84.0029,38.9717,74.61,oos_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,2,100,2023-04-22-18-41-15
38.0438,83.842,38.6464,74.81,oos_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,3,100,2023-04-22-18-54-37
40.956,83.2726,41.5128,74.37,oos_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,4,100,2023-04-22-19-08-55
39.353,83.4836,39.9337,74.26,oos_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,5,100,2023-04-22-19-24-04
43.0571,84.5606,43.6032,76.24,oos_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,6,100,2023-04-22-19-39-42
37.5513,84.0245,38.1628,74.56,oos_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,7,100,2023-04-22-19-49-26
38.0465,83.9689,38.6507,74.86,oos_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,8,100,2023-04-22-20-00-42
37.1303,84.5196,37.7538,75.74,oos_cg,DA-ADB,bert_disaware_boost,0.5,1.0,CrossEntropyLoss,9,100,2023-04-22-20-11-48
